"place","date","amount","source_infection_stage","source_vaccination_stage","source_variant_type","source_age_strata","destination_infection_stage","destination_vaccination_stage","destination_variant_type","destination_age_strata"
"04000",2021-02-14,4.02389412617836,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"04000",2021-02-15,5.34369108049307,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"04000",2021-11-12,34.64,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"04000",2021-11-13,41.89,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"04000",2021-11-14,101.45,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"04000",2021-11-15,102.11,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"04000",2021-11-16,108.92,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"05000",2020-01-01,1782826,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age18to64"
"05000",2020-01-01,520691,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age65to100"
"05000",2020-03-09,30.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"05000",2020-03-13,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"05000",2020-03-14,130.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"05000",2020-03-17,400.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"05000",2020-03-18,1450.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"05000",2020-12-10,23.4508528784647,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"05000",2020-12-11,54.7408315565032,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"05000",2020-12-12,98.3975479744136,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"05000",2020-12-13,121.713113006397,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"05000",2020-12-14,142.853837953092,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"05000",2021-03-25,2.2329105473965,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"05000",2021-03-26,2.84038718291054,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"05000",2021-03-27,4.21555407209612,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"05000",2021-03-28,3.78831775700935,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"05000",2021-03-29,7.35974632843792,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"05000",2021-10-28,12.95,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"05000",2021-10-29,10.91,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"05000",2021-10-30,8.65,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"05000",2021-10-31,11.15,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"05000",2021-11-01,9.17,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"06000",2020-01-01,24634681,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age18to64"
"06000",2020-01-01,5806101,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age65to100"
"06000",2020-01-21,20.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"06000",2020-01-26,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"06000",2020-02-06,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"06000",2020-02-08,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"06000",2020-02-10,30.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"06000",2020-07-27,87.6161375661378,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"06000",2020-07-28,68.071978021978,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"06000",2020-07-29,65.7764957264955,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"06000",2020-07-30,100.30234025234,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"06000",2020-07-31,105.30641025641,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"06000",2020-12-10,11.316960994775,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"06000",2020-12-11,22.7690246668557,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"06000",2020-12-12,27.0832941795942,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"06000",2020-12-13,37.0721556158613,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"06000",2020-12-14,45.8902527441355,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"06000",2021-10-28,46.04,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"06000",2021-10-29,59.51,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"06000",2021-10-30,83.22,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"06000",2021-10-31,31.3,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"06000",2021-11-01,17.85,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"08000",2020-01-01,3562572,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age18to64"
"08000",2020-01-01,820794,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age65to100"
"08000",2020-02-29,20.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"08000",2020-03-01,60.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"08000",2020-03-04,40.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"08000",2020-03-05,50.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"08000",2020-03-06,170.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"08000",2020-11-12,25.7346473029042,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"08000",2020-11-13,55.1655898043865,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"08000",2020-11-14,108.615500889152,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"08000",2020-11-15,136.742353289864,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"08000",2020-11-16,181.22960877297,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"08000",2021-04-08,14.8083031897402,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"08000",2021-04-09,36.1861394278198,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"08000",2021-04-10,34.7909216892939,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"08000",2021-04-11,70.1829449898999,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"08000",2021-04-12,56.2075139756659,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"08000",2021-10-28,23.99,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"08000",2021-10-29,27.52,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"08000",2021-10-30,41.51,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"08000",2021-10-31,33.15,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"08000",2021-11-03,82.01,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"09000",2020-01-01,2213686,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age18to64"
"09000",2020-01-01,632073,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age65to100"
"09000",2020-03-05,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"09000",2020-03-06,20.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"09000",2020-03-07,20.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"09000",2020-03-08,60.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"09000",2020-03-09,120.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"09000",2020-11-12,133.938888888889,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"09000",2020-11-13,328.621428571429,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"09000",2020-11-14,561.478571428571,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"09000",2020-11-15,661.31984126984,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"09000",2020-11-18,2885.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"09000",2021-03-25,0.7286133960047,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"09000",2021-03-26,0.526750041967433,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"09000",2021-03-27,2.37037938559672,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"09000",2021-03-28,2.54118683901286,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"09000",2021-03-31,7.94952996474715,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"09000",2021-11-17,20.65,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"09000",2021-11-18,15.15,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"09000",2021-11-19,25.25,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"09000",2021-11-21,95.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"09000",2021-11-24,323.73,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"10000",2020-01-01,571381,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age18to64"
"10000",2020-01-01,185706,"S","unvaccinated","WILD","age0to17","S","unvaccinated","WILD","age65to100"
"10000",2020-03-06,10.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"10000",2020-03-08,30.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"10000",2020-03-09,20.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"10000",2020-03-11,20.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"10000",2020-03-12,80.05,"S","unvaccinated","WILD","age18to64","E","unvaccinated","WILD","age18to64"
"10000",2020-12-10,3.8137362637362,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"10000",2020-12-11,8.69835164835166,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"10000",2020-12-12,13.8796703296703,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"10000",2020-12-13,7.5445054945055,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"10000",2020-12-14,28.2642857142857,"S","unvaccinated","WILD","age18to64","E","unvaccinated","ALPHA","age18to64"
"10000",2021-04-08,0.890336134453781,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"10000",2021-04-09,3.09121648659464,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"10000",2021-04-10,4.85192076830732,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"10000",2021-04-11,6.58061224489796,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"10000",2021-04-12,9.13363345338135,"S","unvaccinated","WILD","age18to64","E","unvaccinated","DELTA","age18to64"
"10000",2021-10-28,1.49,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
"10000",2021-10-29,5.63,"S","unvaccinated","WILD","age18to64","E","unvaccinated","OMICRON","age18to64"
