airport_iata,fips_cty,countyname,pop_attribution,pop_airport_catchment,cty_risk
IAD,51165,Rockingham,79444,4011427,0.019804423712559145
PIT,51167,Russell,27408,4061752,0.0067478270460628815
PIT,51169,Scott,22009,4061752,0.005418597688879085
IAD,51171,Shenandoah,43045,4011427,0.010730595371671977
PIT,51173,Smyth,31059,4061752,0.007646700241669112
ORF,51175,Southampton,5687,1723351,0.003299966170559567
RIC,51175,Southampton,12252,2946507,0.004158143863225168
DCA,51177,Spotsylvania,311,3341212,9.307999612116801e-5
IAD,51177,Spotsylvania,56641,4011427,0.014119912938712334
RIC,51177,Spotsylvania,74460,2946507,0.025270600069845415
DCA,51179,Stafford,20515,3341212,0.006139987525484765
IAD,51179,Stafford,123497,4011427,0.030786301233949914
ORF,51181,Surry,1642,1723351,9.527948746366816e-4
RIC,51181,Surry,4958,2946507,0.0016826703618895186
RIC,51183,Sussex,11486,2946507,0.0038981750255471987
PIT,51185,Tazewell,42080,4061752,0.01036006137253087
IAD,51187,Warren,39449,4011427,0.009834156274064067
PIT,51191,Washington,54406,4061752,0.013394712429513176
DCA,51193,Westmoreland,10528,3341212,0.003150952408886356
RIC,51193,Westmoreland,7110,2946507,0.0024130266787080433
PIT,51195,Wise,39025,4061752,0.009607922886478545
PIT,51197,Wythe,24506,4061752,0.006033357034107449
RIC,51197,Wythe,4434,2946507,0.001504832671363075
ORF,51199,York,59484,1723351,0.03451647400906722
RIC,51199,York,8103,2946507,0.0027500358899537657
DCA,51510,Alexandria,156505,3341212,0.04684078711557363
PIT,51520,Bristol,16843,4061752,0.00414673273996049
RIC,51530,Buena Vista,6399,2946507,0.002171724010837239
RIC,51540,Charlottesville,47042,2946507,0.015965344728520924
ORF,51550,Chesapeake,237820,1723351,0.13799858531430917
RIC,51570,Colonial Heights,17593,2946507,0.005970798643953671
PIT,51580,Covington,2,4061752,4.923983542077409e-7
RIC,51580,Covington,5580,2946507,0.0018937677731632743
RIC,51590,Danville,41512,2946507,0.01408854620063689
RIC,51595,Emporia,5381,2946507,0.001826230176951896
IAD,51600,Fairfax,23865,4011427,0.00594925446730054
DCA,51610,Falls Church,14067,3341212,0.004210148892078683
ORF,51620,Franklin,8211,1723351,0.004764554638027889
IAD,51630,Fredericksburg,28469,4011427,0.007096975714627239
RIC,51640,Galax,6638,2946507,0.00225283700327201
ORF,51650,Hampton,135583,1723351,0.07867404840917491
IAD,51660,Harrisonburg,53391,4011427,0.013309727436146787
RIC,51670,Hopewell,22408,2946507,0.007604936964344561
