GEO_ID,STATE,COUNTY,NAME.x,LSAD,CENSUSAREA,COUNTYFP,STATEFP,GEOID,NAME.y,variable,estimate,moe,id
0500000US42115,42,115,Susquehanna,County,823.435,115,42,42115,"Susquehanna County, Pennsylvania",B01003_001,43343,NA,PA
0500000US42117,42,117,Tioga,County,1133.788,117,42,42117,"Tioga County, Pennsylvania",B01003_001,41631,NA,PA
0500000US42119,42,119,Union,County,315.982,119,42,42119,"Union County, Pennsylvania",B01003_001,44866,NA,PA
0500000US42121,42,121,Venango,County,674.284,121,42,42121,"Venango County, Pennsylvania",B01003_001,55320,NA,PA
0500000US42123,42,123,Warren,County,884.135,123,42,42123,"Warren County, Pennsylvania",B01003_001,41877,NA,PA
0500000US42125,42,125,Washington,County,856.989,125,42,42125,"Washington County, Pennsylvania",B01003_001,206987,NA,PA
0500000US42127,42,127,Wayne,County,725.604,127,42,42127,"Wayne County, Pennsylvania",B01003_001,52302,NA,PA
0500000US42129,42,129,Westmoreland,County,1027.554,129,42,42129,"Westmoreland County, Pennsylvania",B01003_001,365841,NA,PA
0500000US42131,42,131,Wyoming,County,397.324,131,42,42131,"Wyoming County, Pennsylvania",B01003_001,28262,NA,PA
0500000US42133,42,133,York,County,904.181,133,42,42133,"York County, Pennsylvania",B01003_001,428175,NA,PA
0500000US51001,51,001,Accomack,County,449.496,001,51,51001,"Accomack County, Virginia",B01003_001,34066,NA,VA
0500000US51003,51,003,Albemarle,County,720.698,003,51,51003,"Albemarle County, Virginia",B01003_001,96633,NA,VA
0500000US51005,51,005,Alleghany,County,445.457,005,51,51005,"Alleghany County, Virginia",B01003_001,16406,NA,VA
0500000US51007,51,007,Amelia,County,355.269,007,51,51007,"Amelia County, Virginia",B01003_001,12517,NA,VA
0500000US51009,51,009,Amherst,County,473.934,009,51,51009,"Amherst County, Virginia",B01003_001,32315,NA,VA
0500000US51011,51,011,Appomattox,County,333.494,011,51,51011,"Appomattox County, Virginia",B01003_001,14653,NA,VA
0500000US51013,51,013,Arlington,County,25.974,013,51,51013,"Arlington County, Virginia",B01003_001,197467,NA,VA
0500000US51015,51,015,Augusta,County,966.999,015,51,51015,"Augusta County, Virginia",B01003_001,73201,NA,VA
0500000US51017,51,017,Bath,County,529.158,017,51,51017,"Bath County, Virginia",B01003_001,4779,NA,VA
0500000US51019,51,019,Bedford,County,753.021,019,51,51019,"Bedford County, Virginia",B01003_001,67697,NA,VA
0500000US51021,51,021,Bland,County,357.725,021,51,51021,"Bland County, Virginia",B01003_001,6873,NA,VA
0500000US51023,51,023,Botetourt,County,541.202,023,51,51023,"Botetourt County, Virginia",B01003_001,32867,NA,VA
0500000US51025,51,025,Brunswick,County,566.173,025,51,51025,"Brunswick County, Virginia",B01003_001,17707,NA,VA
0500000US51027,51,027,Buchanan,County,502.763,027,51,51027,"Buchanan County, Virginia",B01003_001,24459,NA,VA
0500000US51029,51,029,Buckingham,County,579.657,029,51,51029,"Buckingham County, Virginia",B01003_001,16874,NA,VA
0500000US51031,51,031,Campbell,County,503.867,031,51,51031,"Campbell County, Virginia",B01003_001,54174,NA,VA
0500000US51033,51,033,Caroline,County,527.513,033,51,51033,"Caroline County, Virginia",B01003_001,27844,NA,VA
0500000US51035,51,035,Carroll,County,474.69,035,51,51035,"Carroll County, Virginia",B01003_001,29985,NA,VA
0500000US51036,51,036,Charles City,County,182.817,036,51,51036,"Charles City County, Virginia",B01003_001,7205,NA,VA
0500000US51037,51,037,Charlotte,County,475.271,037,51,51037,"Charlotte County, Virginia",B01003_001,12644,NA,VA
0500000US51041,51,041,Chesterfield,County,423.297,041,51,51041,"Chesterfield County, Virginia",B01003_001,308633,NA,VA
0500000US51043,51,043,Clarke,County,176.177,043,51,51043,"Clarke County, Virginia",B01003_001,14013,NA,VA
0500000US51045,51,045,Craig,County,329.534,045,51,51045,"Craig County, Virginia",B01003_001,5173,NA,VA
0500000US51047,51,047,Culpeper,County,379.234,047,51,51047,"Culpeper County, Virginia",B01003_001,45749,NA,VA
0500000US51049,51,049,Cumberland,County,297.461,049,51,51049,"Cumberland County, Virginia",B01003_001,9855,NA,VA
0500000US51051,51,051,Dickenson,County,330.532,051,51,51051,"Dickenson County, Virginia",B01003_001,15966,NA,VA
0500000US51053,51,053,Dinwiddie,County,503.716,053,51,51053,"Dinwiddie County, Virginia",B01003_001,27449,NA,VA
0500000US51057,51,057,Essex,County,257.123,057,51,51057,"Essex County, Virginia",B01003_001,10901,NA,VA
0500000US51059,51,059,Fairfax,County,390.969,059,51,51059,"Fairfax County, Virginia",B01003_001,1048554,NA,VA
0500000US51061,51,061,Fauquier,County,647.449,061,51,51061,"Fauquier County, Virginia",B01003_001,64546,NA,VA
0500000US51063,51,063,Floyd,County,380.42,063,51,51063,"Floyd County, Virginia",B01003_001,15030,NA,VA
