"county","airport_iata","attribution","countyname"
"51199","ORF",0.881388513688561,"York"
"51199","RIC",0.118611485655395,"York"
"51510","DCA",1.00000000484866,"Alexandria"
"51515","RIC",1,"Bedford"
"51520","PIT",1,"Bristol"
"51530","RIC",1,"Buena Vista"
"51540","RIC",1,"Charlottesville"
"51550","ORF",1,"Chesapeake"
"51570","RIC",1,"Colonial Heights"
"51580","PIT",0.000429372173057048,"Covington"
"51580","RIC",0.999570616491215,"Covington"
"51590","RIC",1,"Danville"
"51595","RIC",1,"Emporia"
"51600","IAD",1,"Fairfax"
"51610","DCA",1,"Falls Church"
"51620","ORF",1,"Franklin"
"51630","IAD",1,"Fredericksburg"
"51640","RIC",1,"Galax"
"51650","ORF",1,"Hampton"
"51660","IAD",1,"Harrisonburg"
"51670","RIC",1,"Hopewell"
"51678","RIC",1,"Lexington"
"51680","RIC",1,"Lynchburg"
"51683","IAD",1,"Manassas"
"51685","IAD",1,"Manassas Park"
"51690","RIC",1,"Martinsville"
"51700","ORF",1,"Newport News"
"51710","ORF",1,"Norfolk"
"51720","PIT",1,"Norton"
"51730","RIC",1,"Petersburg"
"51735","ORF",1,"Poquoson"
"51740","ORF",1,"Portsmouth"
"51750","RIC",1,"Radford"
"51760","RIC",1,"Richmond"
"51770","RIC",1,"Roanoke"
"51775","RIC",1,"Salem"
"51790","IAD",1,"Staunton"
"51800","ORF",1,"Suffolk"
"51810","ORF",1,"Virginia Beach"
"51820","IAD",0.203400207660597,"Waynesboro"
"51820","RIC",0.796599817633764,"Waynesboro"
"51830","ORF",0.727100265954071,"Williamsburg"
"51830","RIC",0.272899744057105,"Williamsburg"
"51840","IAD",1,"Winchester"
